Extracted from the UNHCR Population Statistics Reference Database,United Nations High Commissioner for Refugees,,,
Finland,Syrian Arab Rep.,2012,August,14
Finland,Syrian Arab Rep.,2012,September,29
Finland,Syrian Arab Rep.,2012,October,23
Finland,Syrian Arab Rep.,2012,November,12
Finland,Syrian Arab Rep.,2012,December,9
Finland,Syrian Arab Rep.,2013,January,5
Finland,Syrian Arab Rep.,2013,February,9
Finland,Syrian Arab Rep.,2013,March,6
Finland,Syrian Arab Rep.,2013,April,13
Finland,Syrian Arab Rep.,2013,May,5
Finland,Syrian Arab Rep.,2013,June,3
Finland,Syrian Arab Rep.,2013,July,10
Finland,Syrian Arab Rep.,2013,August,18
Finland,Syrian Arab Rep.,2013,September,25
Finland,Syrian Arab Rep.,2013,October,14
Finland,Syrian Arab Rep.,2013,November,26
Finland,Syrian Arab Rep.,2013,December,14
Finland,Syrian Arab Rep.,2014,January,16
Finland,Syrian Arab Rep.,2014,February,12
Finland,Syrian Arab Rep.,2014,March,15
Finland,Syrian Arab Rep.,2014,April,8
Finland,Syrian Arab Rep.,2014,May,7
Finland,Syrian Arab Rep.,2014,June,6
Finland,Syrian Arab Rep.,2014,July,14
Finland,Syrian Arab Rep.,2014,August,15
Finland,Syrian Arab Rep.,2014,September,16
Finland,Syrian Arab Rep.,2014,October,14
Finland,Syrian Arab Rep.,2014,November,9
Finland,Syrian Arab Rep.,2014,December,14
Finland,Syrian Arab Rep.,2015,January,17
Finland,Syrian Arab Rep.,2015,February,13
Finland,Syrian Arab Rep.,2015,March,10
Finland,Syrian Arab Rep.,2015,April,13
Finland,Syrian Arab Rep.,2015,May,12
Finland,Syrian Arab Rep.,2015,June,22
Finland,Syrian Arab Rep.,2015,July,31
Finland,Syrian Arab Rep.,2015,August,73
Finland,Syrian Arab Rep.,2015,September,193
Finland,Syrian Arab Rep.,2015,October,174
France,Syrian Arab Rep.,2011,January,3
France,Syrian Arab Rep.,2011,February,1
France,Syrian Arab Rep.,2011,March,5
France,Syrian Arab Rep.,2011,April,3
France,Syrian Arab Rep.,2011,May,7
France,Syrian Arab Rep.,2011,June,7
France,Syrian Arab Rep.,2011,July,10
France,Syrian Arab Rep.,2011,August,10
France,Syrian Arab Rep.,2011,September,12
France,Syrian Arab Rep.,2011,October,25
France,Syrian Arab Rep.,2011,November,15
France,Syrian Arab Rep.,2011,December,21
France,Syrian Arab Rep.,2012,January,34
France,Syrian Arab Rep.,2012,February,29
France,Syrian Arab Rep.,2012,March,42
France,Syrian Arab Rep.,2012,April,47
France,Syrian Arab Rep.,2012,May,33
France,Syrian Arab Rep.,2012,June,27
France,Syrian Arab Rep.,2012,July,44
France,Syrian Arab Rep.,2012,August,54
France,Syrian Arab Rep.,2012,September,51
France,Syrian Arab Rep.,2012,October,79
France,Syrian Arab Rep.,2012,November,86
France,Syrian Arab Rep.,2012,December,103
France,Syrian Arab Rep.,2013,January,79
France,Syrian Arab Rep.,2013,February,114
France,Syrian Arab Rep.,2013,March,125
France,Syrian Arab Rep.,2013,April,94
France,Syrian Arab Rep.,2013,May,95
France,Syrian Arab Rep.,2013,June,96
France,Syrian Arab Rep.,2013,July,95
France,Syrian Arab Rep.,2013,August,70
France,Syrian Arab Rep.,2013,September,93
France,Syrian Arab Rep.,2013,October,180
France,Syrian Arab Rep.,2013,November,142
France,Syrian Arab Rep.,2013,December,120
France,Syrian Arab Rep.,2014,January,155
France,Syrian Arab Rep.,2014,February,224
France,Syrian Arab Rep.,2014,March,391
France,Syrian Arab Rep.,2014,April,223
France,Syrian Arab Rep.,2014,May,228
France,Syrian Arab Rep.,2014,June,216
France,Syrian Arab Rep.,2014,July,231
France,Syrian Arab Rep.,2014,August,162
France,Syrian Arab Rep.,2014,September,458
France,Syrian Arab Rep.,2014,October,385
France,Syrian Arab Rep.,2014,November,184
France,Syrian Arab Rep.,2014,December,272
France,Syrian Arab Rep.,2015,January,169
France,Syrian Arab Rep.,2015,February,307
France,Syrian Arab Rep.,2015,March,470
France,Syrian Arab Rep.,2015,April,378
France,Syrian Arab Rep.,2015,May,210
France,Syrian Arab Rep.,2015,June,332
France,Syrian Arab Rep.,2015,July,237
France,Syrian Arab Rep.,2015,August,322
France,Syrian Arab Rep.,2015,September,774
France,Syrian Arab Rep.,2015,October,666
France,Syrian Arab Rep.,2015,November,650
France,Syrian Arab Rep.,2015,December,595
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2011,January,6
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2011,February,12
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2011,March,19
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2011,April,12
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2011,May,23
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2011,June,29
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2011,July,64
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2011,August,66
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2011,September,70
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2011,October,46
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2011,November,70
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2011,December,91
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2012,January,71
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2012,February,48
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2012,March,70
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2012,April,64
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2012,May,84
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2012,June,67
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2012,July,125
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2012,August,128
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2012,September,199
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2012,October,157
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2012,November,139
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2012,December,137
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2013,January,159
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2013,February,131
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2013,March,121
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2013,April,157
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2013,May,126
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2013,June,171
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2013,July,224
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2013,August,202
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2013,September,205
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2013,October,176
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2013,November,186
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2013,December,162
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2014,January,151
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2014,February,129
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2014,March,162
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2014,April,126
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2014,May,133
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2014,June,176
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2014,July,185
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2014,August,237
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2014,September,255
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2014,October,303
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2014,November,244
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2014,December,252
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2015,January,258
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2015,February,167
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2015,March,160
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2015,April,110
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2015,May,139
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2015,June,166
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2015,July,314
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2015,August,225
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2015,September,325
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2015,October,530
United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2015,November,265
Germany,Syrian Arab Rep.,2011,January,154
Germany,Syrian Arab Rep.,2011,February,159
Germany,Syrian Arab Rep.,2011,March,176
Germany,Syrian Arab Rep.,2011,April,169
Germany,Syrian Arab Rep.,2011,May,247
Germany,Syrian Arab Rep.,2011,June,186
Germany,Syrian Arab Rep.,2011,July,211
Germany,Syrian Arab Rep.,2011,August,316
Germany,Syrian Arab Rep.,2011,September,306
Germany,Syrian Arab Rep.,2011,October,214
Germany,Syrian Arab Rep.,2011,November,286
Germany,Syrian Arab Rep.,2011,December,210
Germany,Syrian Arab Rep.,2012,January,210
Germany,Syrian Arab Rep.,2012,February,230
Germany,Syrian Arab Rep.,2012,March,167
Germany,Syrian Arab Rep.,2012,April,248
Germany,Syrian Arab Rep.,2012,May,376
Germany,Syrian Arab Rep.,2012,June,401
Germany,Syrian Arab Rep.,2012,July,644
Germany,Syrian Arab Rep.,2012,August,688
Germany,Syrian Arab Rep.,2012,September,744
Germany,Syrian Arab Rep.,2012,October,904
Germany,Syrian Arab Rep.,2012,November,1001
Germany,Syrian Arab Rep.,2012,December,588
Germany,Syrian Arab Rep.,2013,January,1047
Germany,Syrian Arab Rep.,2013,February,709
Germany,Syrian Arab Rep.,2013,March,555
Germany,Syrian Arab Rep.,2013,April,689
Germany,Syrian Arab Rep.,2013,May,731
Germany,Syrian Arab Rep.,2013,June,737
Germany,Syrian Arab Rep.,2013,July,1030
Germany,Syrian Arab Rep.,2013,August,1010
Germany,Syrian Arab Rep.,2013,September,1246
Germany,Syrian Arab Rep.,2013,October,1641
Germany,Syrian Arab Rep.,2013,November,1485
Germany,Syrian Arab Rep.,2013,December,971
Germany,Syrian Arab Rep.,2014,January,1650
Germany,Syrian Arab Rep.,2014,February,1781
Germany,Syrian Arab Rep.,2014,March,1746
Germany,Syrian Arab Rep.,2014,April,1739
Germany,Syrian Arab Rep.,2014,May,2523
Germany,Syrian Arab Rep.,2014,June,2702
Germany,Syrian Arab Rep.,2014,July,3723
Germany,Syrian Arab Rep.,2014,August,3639
Germany,Syrian Arab Rep.,2014,September,4502
Germany,Syrian Arab Rep.,2014,October,5219
Germany,Syrian Arab Rep.,2014,November,5198
Germany,Syrian Arab Rep.,2014,December,4910
Germany,Syrian Arab Rep.,2015,January,5973
Germany,Syrian Arab Rep.,2015,February,4548
Germany,Syrian Arab Rep.,2015,March,4895
Germany,Syrian Arab Rep.,2015,April,4680
Germany,Syrian Arab Rep.,2015,May,5280
Germany,Syrian Arab Rep.,2015,June,7849
Germany,Syrian Arab Rep.,2015,July,9800
Germany,Syrian Arab Rep.,2015,August,11218
Germany,Syrian Arab Rep.,2015,September,18085
Germany,Syrian Arab Rep.,2015,October,30216
Germany,Syrian Arab Rep.,2015,November,30863
Germany,Syrian Arab Rep.,2015,December,25250
Greece,Syrian Arab Rep.,2011,January,22
Greece,Syrian Arab Rep.,2011,February,43
Greece,Syrian Arab Rep.,2011,March,28
Greece,Syrian Arab Rep.,2011,April,9
Greece,Syrian Arab Rep.,2011,May,22
Greece,Syrian Arab Rep.,2011,June,17
Greece,Syrian Arab Rep.,2011,July,69
Greece,Syrian Arab Rep.,2011,August,21
Greece,Syrian Arab Rep.,2011,September,46
Greece,Syrian Arab Rep.,2011,October,18
Greece,Syrian Arab Rep.,2011,November,26
Greece,Syrian Arab Rep.,2011,December,31
Greece,Syrian Arab Rep.,2012,January,9
Greece,Syrian Arab Rep.,2012,February,38
Greece,Syrian Arab Rep.,2012,March,9
Greece,Syrian Arab Rep.,2012,April,12
Greece,Syrian Arab Rep.,2012,May,17
Greece,Syrian Arab Rep.,2012,June,10
Greece,Syrian Arab Rep.,2012,July,22
Greece,Syrian Arab Rep.,2012,August,12
Greece,Syrian Arab Rep.,2012,September,28
Greece,Syrian Arab Rep.,2012,October,57
Greece,Syrian Arab Rep.,2012,November,43
Greece,Syrian Arab Rep.,2012,December,18
Greece,Syrian Arab Rep.,2013,January,35
Greece,Syrian Arab Rep.,2013,February,46
Greece,Syrian Arab Rep.,2013,March,63
Greece,Syrian Arab Rep.,2013,April,51
Greece,Syrian Arab Rep.,2013,May,32
Greece,Syrian Arab Rep.,2013,June,34
Greece,Syrian Arab Rep.,2013,July,38
Greece,Syrian Arab Rep.,2013,August,33
Greece,Syrian Arab Rep.,2013,September,32
Greece,Syrian Arab Rep.,2013,October,38
Greece,Syrian Arab Rep.,2013,November,50
Greece,Syrian Arab Rep.,2013,December,33
Greece,Syrian Arab Rep.,2014,January,57
Greece,Syrian Arab Rep.,2014,February,42
Greece,Syrian Arab Rep.,2014,March,62
Greece,Syrian Arab Rep.,2014,April,68
Greece,Syrian Arab Rep.,2014,May,42
Greece,Syrian Arab Rep.,2014,June,29
Greece,Syrian Arab Rep.,2014,July,42
Greece,Syrian Arab Rep.,2014,August,33
Greece,Syrian Arab Rep.,2014,September,57
Greece,Syrian Arab Rep.,2014,October,95
Greece,Syrian Arab Rep.,2014,November,74
Greece,Syrian Arab Rep.,2014,December,190
Greece,Syrian Arab Rep.,2015,January,235
Greece,Syrian Arab Rep.,2015,February,225
Greece,Syrian Arab Rep.,2015,March,222
Greece,Syrian Arab Rep.,2015,April,253
Greece,Syrian Arab Rep.,2015,May,336
Greece,Syrian Arab Rep.,2015,June,375
Greece,Syrian Arab Rep.,2015,July,410
Greece,Syrian Arab Rep.,2015,August,334
Greece,Syrian Arab Rep.,2015,September,245
Greece,Syrian Arab Rep.,2015,October,180
Greece,Syrian Arab Rep.,2015,November,237
Greece,Syrian Arab Rep.,2015,December,267
Croatia,Syrian Arab Rep.,2011,January,5
Croatia,Syrian Arab Rep.,2011,June,2
Croatia,Syrian Arab Rep.,2011,October,2
Croatia,Syrian Arab Rep.,2012,January,1
Croatia,Syrian Arab Rep.,2012,February,4
Croatia,Syrian Arab Rep.,2012,April,5
Croatia,Syrian Arab Rep.,2012,May,8
Croatia,Syrian Arab Rep.,2012,June,1
Croatia,Syrian Arab Rep.,2012,July,3
Croatia,Syrian Arab Rep.,2012,August,4
Croatia,Syrian Arab Rep.,2012,September,14
Croatia,Syrian Arab Rep.,2012,October,12
Croatia,Syrian Arab Rep.,2012,November,15
Croatia,Syrian Arab Rep.,2012,December,19
Croatia,Syrian Arab Rep.,2013,January,26
Croatia,Syrian Arab Rep.,2013,February,13
Croatia,Syrian Arab Rep.,2013,March,26
Croatia,Syrian Arab Rep.,2013,April,14
Croatia,Syrian Arab Rep.,2013,May,20
Croatia,Syrian Arab Rep.,2013,June,6
Croatia,Syrian Arab Rep.,2013,July,4
Croatia,Syrian Arab Rep.,2013,August,10
Croatia,Syrian Arab Rep.,2013,September,31
Croatia,Syrian Arab Rep.,2013,October,35
Croatia,Syrian Arab Rep.,2013,November,6
Croatia,Syrian Arab Rep.,2013,December,3
Croatia,Syrian Arab Rep.,2014,January,*
Croatia,Syrian Arab Rep.,2014,February,8
Croatia,Syrian Arab Rep.,2014,March,5
Croatia,Syrian Arab Rep.,2014,April,7
Croatia,Syrian Arab Rep.,2014,May,*
Croatia,Syrian Arab Rep.,2014,June,7
Croatia,Syrian Arab Rep.,2014,July,6
Croatia,Syrian Arab Rep.,2014,September,10
Croatia,Syrian Arab Rep.,2014,October,*
Croatia,Syrian Arab Rep.,2014,November,*
Croatia,Syrian Arab Rep.,2014,December,*
Croatia,Syrian Arab Rep.,2015,January,6
Croatia,Syrian Arab Rep.,2015,February,7
Croatia,Syrian Arab Rep.,2015,March,*
Croatia,Syrian Arab Rep.,2015,August,*
Croatia,Syrian Arab Rep.,2015,September,6
Croatia,Syrian Arab Rep.,2015,October,*
Croatia,Syrian Arab Rep.,2015,November,*
Croatia,Syrian Arab Rep.,2015,December,*
Hungary,Syrian Arab Rep.,2011,January,6
Hungary,Syrian Arab Rep.,2011,March,9
Hungary,Syrian Arab Rep.,2011,April,12
Hungary,Syrian Arab Rep.,2011,May,1
Hungary,Syrian Arab Rep.,2011,June,4
Hungary,Syrian Arab Rep.,2011,July,1
Hungary,Syrian Arab Rep.,2011,August,5
Hungary,Syrian Arab Rep.,2011,September,4
Hungary,Syrian Arab Rep.,2011,October,15
Hungary,Syrian Arab Rep.,2011,November,29
Hungary,Syrian Arab Rep.,2011,December,5
Hungary,Syrian Arab Rep.,2012,January,10
Hungary,Syrian Arab Rep.,2012,February,9
Hungary,Syrian Arab Rep.,2012,March,2
Hungary,Syrian Arab Rep.,2012,April,3
Hungary,Syrian Arab Rep.,2012,May,8
Hungary,Syrian Arab Rep.,2012,June,4
Hungary,Syrian Arab Rep.,2012,July,17
Hungary,Syrian Arab Rep.,2012,August,16
Hungary,Syrian Arab Rep.,2012,September,9
Hungary,Syrian Arab Rep.,2012,October,20
Hungary,Syrian Arab Rep.,2012,November,39
Hungary,Syrian Arab Rep.,2012,December,8
Hungary,Syrian Arab Rep.,2013,January,39
Hungary,Syrian Arab Rep.,2013,February,42
Hungary,Syrian Arab Rep.,2013,March,72
Hungary,Syrian Arab Rep.,2013,April,65
Hungary,Syrian Arab Rep.,2013,May,78
Hungary,Syrian Arab Rep.,2013,June,93
Hungary,Syrian Arab Rep.,2013,July,101
Hungary,Syrian Arab Rep.,2013,August,72
Hungary,Syrian Arab Rep.,2013,September,89
Hungary,Syrian Arab Rep.,2013,October,72
Hungary,Syrian Arab Rep.,2013,November,110
Hungary,Syrian Arab Rep.,2013,December,127
Hungary,Syrian Arab Rep.,2014,January,289
Hungary,Syrian Arab Rep.,2014,February,216
Hungary,Syrian Arab Rep.,2014,March,110
Hungary,Syrian Arab Rep.,2014,April,165
Hungary,Syrian Arab Rep.,2014,May,120
Hungary,Syrian Arab Rep.,2014,June,229
Hungary,Syrian Arab Rep.,2014,July,505
Hungary,Syrian Arab Rep.,2014,August,554
Hungary,Syrian Arab Rep.,2014,September,1064
Hungary,Syrian Arab Rep.,2014,October,1483
Hungary,Syrian Arab Rep.,2014,November,1511
Hungary,Syrian Arab Rep.,2014,December,503
Hungary,Syrian Arab Rep.,2015,January,535
Hungary,Syrian Arab Rep.,2015,February,613
Hungary,Syrian Arab Rep.,2015,March,1263
Hungary,Syrian Arab Rep.,2015,April,1752
Hungary,Syrian Arab Rep.,2015,May,2034
Hungary,Syrian Arab Rep.,2015,June,4650
Hungary,Syrian Arab Rep.,2015,July,12346
Hungary,Syrian Arab Rep.,2015,August,23002
Hungary,Syrian Arab Rep.,2015,September,17720
Hungary,Syrian Arab Rep.,2015,October,122
Hungary,Syrian Arab Rep.,2015,November,32
Hungary,Syrian Arab Rep.,2015,December,5
Iceland,Syrian Arab Rep.,2011,April,1
Iceland,Syrian Arab Rep.,2012,July,1
Iceland,Syrian Arab Rep.,2012,August,2
Iceland,Syrian Arab Rep.,2013,April,5
Iceland,Syrian Arab Rep.,2014,August,5
Iceland,Syrian Arab Rep.,2015,January,*
Iceland,Syrian Arab Rep.,2015,February,*
Iceland,Syrian Arab Rep.,2015,April,*
Iceland,Syrian Arab Rep.,2015,May,*
Iceland,Syrian Arab Rep.,2015,June,*
Iceland,Syrian Arab Rep.,2015,July,*
Iceland,Syrian Arab Rep.,2015,August,6
Iceland,Syrian Arab Rep.,2015,September,7
Iceland,Syrian Arab Rep.,2015,October,*
Iceland,Syrian Arab Rep.,2015,November,*
Iceland,Syrian Arab Rep.,2015,December,*
Ireland,Syrian Arab Rep.,2011,July,2
Ireland,Syrian Arab Rep.,2011,September,2
Ireland,Syrian Arab Rep.,2011,October,1
Ireland,Syrian Arab Rep.,2011,December,4
Ireland,Syrian Arab Rep.,2012,February,1
Ireland,Syrian Arab Rep.,2012,March,2
Ireland,Syrian Arab Rep.,2012,June,1
Ireland,Syrian Arab Rep.,2012,July,1
Ireland,Syrian Arab Rep.,2012,August,5
Ireland,Syrian Arab Rep.,2012,September,2
Ireland,Syrian Arab Rep.,2012,November,1
Ireland,Syrian Arab Rep.,2012,December,1
Ireland,Syrian Arab Rep.,2013,January,3
Ireland,Syrian Arab Rep.,2013,February,9
Ireland,Syrian Arab Rep.,2013,March,10
Ireland,Syrian Arab Rep.,2013,April,2
Ireland,Syrian Arab Rep.,2013,May,2
Ireland,Syrian Arab Rep.,2013,July,2
Ireland,Syrian Arab Rep.,2013,September,6
Ireland,Syrian Arab Rep.,2013,October,1
Ireland,Syrian Arab Rep.,2013,November,1
Ireland,Syrian Arab Rep.,2013,December,1
Ireland,Syrian Arab Rep.,2014,January,5
Ireland,Syrian Arab Rep.,2014,February,*
Ireland,Syrian Arab Rep.,2014,April,*
Ireland,Syrian Arab Rep.,2014,May,*
Ireland,Syrian Arab Rep.,2014,June,*
Ireland,Syrian Arab Rep.,2014,July,*
Ireland,Syrian Arab Rep.,2014,August,*
Ireland,Syrian Arab Rep.,2014,September,*
Ireland,Syrian Arab Rep.,2014,October,*
Ireland,Syrian Arab Rep.,2014,November,*
Ireland,Syrian Arab Rep.,2014,December,*
Ireland,Syrian Arab Rep.,2015,March,*
Ireland,Syrian Arab Rep.,2015,April,*
Ireland,Syrian Arab Rep.,2015,May,11
Ireland,Syrian Arab Rep.,2015,June,*
Ireland,Syrian Arab Rep.,2015,July,6
Ireland,Syrian Arab Rep.,2015,August,6
Ireland,Syrian Arab Rep.,2015,September,21
Ireland,Syrian Arab Rep.,2015,October,8
Ireland,Syrian Arab Rep.,2015,November,7
Italy,Syrian Arab Rep.,2011,January,28
Italy,Syrian Arab Rep.,2011,February,4
Italy,Syrian Arab Rep.,2011,March,14
Italy,Syrian Arab Rep.,2011,April,37
Italy,Syrian Arab Rep.,2011,May,26
Italy,Syrian Arab Rep.,2011,June,34
Italy,Syrian Arab Rep.,2011,July,99
Italy,Syrian Arab Rep.,2011,August,173
Italy,Syrian Arab Rep.,2011,September,41
Italy,Syrian Arab Rep.,2011,October,26
Italy,Syrian Arab Rep.,2011,November,27
Italy,Syrian Arab Rep.,2011,December,32
Italy,Syrian Arab Rep.,2012,January,13
Italy,Syrian Arab Rep.,2012,February,11
Italy,Syrian Arab Rep.,2012,March,17
Italy,Syrian Arab Rep.,2012,April,8
Italy,Syrian Arab Rep.,2012,May,17
Italy,Syrian Arab Rep.,2012,June,15
Italy,Syrian Arab Rep.,2012,July,38
Italy,Syrian Arab Rep.,2012,August,25
Italy,Syrian Arab Rep.,2012,September,49
Italy,Syrian Arab Rep.,2012,October,35
Italy,Syrian Arab Rep.,2012,November,88
Italy,Syrian Arab Rep.,2012,December,38
Italy,Syrian Arab Rep.,2013,January,70
Italy,Syrian Arab Rep.,2013,February,27
Italy,Syrian Arab Rep.,2013,March,86
Italy,Syrian Arab Rep.,2013,April,38
Italy,Syrian Arab Rep.,2013,May,44
Italy,Syrian Arab Rep.,2013,June,54
Italy,Syrian Arab Rep.,2013,July,57
Italy,Syrian Arab Rep.,2013,August,43
Italy,Syrian Arab Rep.,2013,September,55
Italy,Syrian Arab Rep.,2013,October,101
Italy,Syrian Arab Rep.,2013,November,43
Italy,Syrian Arab Rep.,2013,December,16
Italy,Syrian Arab Rep.,2014,January,49
Italy,Syrian Arab Rep.,2014,February,35
Italy,Syrian Arab Rep.,2014,March,84
Italy,Syrian Arab Rep.,2014,April,35
Italy,Syrian Arab Rep.,2014,May,48
Italy,Syrian Arab Rep.,2014,June,39
Italy,Syrian Arab Rep.,2014,July,53
Italy,Syrian Arab Rep.,2014,August,28
Italy,Syrian Arab Rep.,2014,September,32
Italy,Syrian Arab Rep.,2014,October,46
Italy,Syrian Arab Rep.,2014,November,35
Italy,Syrian Arab Rep.,2014,December,20
Italy,Syrian Arab Rep.,2015,January,32
Italy,Syrian Arab Rep.,2015,February,25
Italy,Syrian Arab Rep.,2015,March,26
Italy,Syrian Arab Rep.,2015,April,36
Italy,Syrian Arab Rep.,2015,May,13
Italy,Syrian Arab Rep.,2015,June,24
Italy,Syrian Arab Rep.,2015,July,25
Italy,Syrian Arab Rep.,2015,August,15
Italy,Syrian Arab Rep.,2015,September,168
Italy,Syrian Arab Rep.,2015,October,66
Italy,Syrian Arab Rep.,2015,November,34
Japan,Syrian Arab Rep.,2011,November,1
Japan,Syrian Arab Rep.,2011,December,1
