Extracted from the UNHCR Population Statistics Reference Database,United Nations High Commissioner for Refugees,,,
Japan,Syrian Arab Rep.,2012,February,1
Japan,Syrian Arab Rep.,2012,April,1
Japan,Syrian Arab Rep.,2012,June,2
Japan,Syrian Arab Rep.,2012,July,1
Japan,Syrian Arab Rep.,2012,August,4
Japan,Syrian Arab Rep.,2012,September,5
Japan,Syrian Arab Rep.,2012,October,8
Japan,Syrian Arab Rep.,2012,December,4
Japan,Syrian Arab Rep.,2013,January,4
Japan,Syrian Arab Rep.,2013,February,3
Japan,Syrian Arab Rep.,2013,May,1
Japan,Syrian Arab Rep.,2013,June,1
Japan,Syrian Arab Rep.,2013,July,1
Japan,Syrian Arab Rep.,2013,August,1
Japan,Syrian Arab Rep.,2013,September,4
Japan,Syrian Arab Rep.,2013,October,7
Japan,Syrian Arab Rep.,2013,November,1
Japan,Syrian Arab Rep.,2013,December,1
Japan,Syrian Arab Rep.,2014,June,*
Japan,Syrian Arab Rep.,2014,July,*
Japan,Syrian Arab Rep.,2014,September,*
Japan,Syrian Arab Rep.,2014,October,*
Japan,Syrian Arab Rep.,2014,November,*
Japan,Syrian Arab Rep.,2015,January,*
Japan,Syrian Arab Rep.,2015,April,*
Japan,Syrian Arab Rep.,2015,October,*
Rep. of Korea,Syrian Arab Rep.,2011,March,2
Rep. of Korea,Syrian Arab Rep.,2012,March,5
Rep. of Korea,Syrian Arab Rep.,2012,April,2
Rep. of Korea,Syrian Arab Rep.,2012,May,8
Rep. of Korea,Syrian Arab Rep.,2012,June,6
Rep. of Korea,Syrian Arab Rep.,2012,July,8
Rep. of Korea,Syrian Arab Rep.,2012,August,16
Rep. of Korea,Syrian Arab Rep.,2012,September,29
Rep. of Korea,Syrian Arab Rep.,2012,October,19
Rep. of Korea,Syrian Arab Rep.,2012,November,27
Rep. of Korea,Syrian Arab Rep.,2012,December,26
Rep. of Korea,Syrian Arab Rep.,2013,January,33
Rep. of Korea,Syrian Arab Rep.,2013,February,27
Rep. of Korea,Syrian Arab Rep.,2013,March,17
Rep. of Korea,Syrian Arab Rep.,2013,April,25
Rep. of Korea,Syrian Arab Rep.,2013,May,26
Rep. of Korea,Syrian Arab Rep.,2013,June,17
Rep. of Korea,Syrian Arab Rep.,2013,July,16
Rep. of Korea,Syrian Arab Rep.,2013,August,16
Rep. of Korea,Syrian Arab Rep.,2013,September,33
Rep. of Korea,Syrian Arab Rep.,2013,October,45
Rep. of Korea,Syrian Arab Rep.,2013,November,18
Rep. of Korea,Syrian Arab Rep.,2013,December,22
Rep. of Korea,Syrian Arab Rep.,2014,January,17
Rep. of Korea,Syrian Arab Rep.,2014,February,20
Rep. of Korea,Syrian Arab Rep.,2014,March,13
Rep. of Korea,Syrian Arab Rep.,2014,April,26
Rep. of Korea,Syrian Arab Rep.,2014,May,17
Rep. of Korea,Syrian Arab Rep.,2014,June,16
Rep. of Korea,Syrian Arab Rep.,2014,July,14
Rep. of Korea,Syrian Arab Rep.,2014,August,8
Rep. of Korea,Syrian Arab Rep.,2014,September,9
Rep. of Korea,Syrian Arab Rep.,2014,October,16
Rep. of Korea,Syrian Arab Rep.,2014,November,29
Rep. of Korea,Syrian Arab Rep.,2014,December,19
Rep. of Korea,Syrian Arab Rep.,2015,January,26
Rep. of Korea,Syrian Arab Rep.,2015,February,9
Rep. of Korea,Syrian Arab Rep.,2015,March,14
Rep. of Korea,Syrian Arab Rep.,2015,April,7
Rep. of Korea,Syrian Arab Rep.,2015,May,9
Rep. of Korea,Syrian Arab Rep.,2015,June,28
Rep. of Korea,Syrian Arab Rep.,2015,July,27
Rep. of Korea,Syrian Arab Rep.,2015,August,31
Rep. of Korea,Syrian Arab Rep.,2015,September,49
Rep. of Korea,Syrian Arab Rep.,2015,October,70
Rep. of Korea,Syrian Arab Rep.,2015,November,61
Liechtenstein,Syrian Arab Rep.,2012,February,1
Liechtenstein,Syrian Arab Rep.,2013,March,1
Liechtenstein,Syrian Arab Rep.,2013,April,1
Liechtenstein,Syrian Arab Rep.,2014,April,*
Liechtenstein,Syrian Arab Rep.,2015,June,*
Liechtenstein,Syrian Arab Rep.,2015,October,*
Lithuania,Syrian Arab Rep.,2011,July,1
Lithuania,Syrian Arab Rep.,2012,April,1
Lithuania,Syrian Arab Rep.,2012,December,5
Lithuania,Syrian Arab Rep.,2013,April,1
Lithuania,Syrian Arab Rep.,2013,June,2
Lithuania,Syrian Arab Rep.,2013,July,4
Lithuania,Syrian Arab Rep.,2013,August,1
Lithuania,Syrian Arab Rep.,2013,October,1
Lithuania,Syrian Arab Rep.,2013,December,2
Lithuania,Syrian Arab Rep.,2014,July,*
Lithuania,Syrian Arab Rep.,2014,November,*
Lithuania,Syrian Arab Rep.,2014,December,*
Lithuania,Syrian Arab Rep.,2015,July,*
Lithuania,Syrian Arab Rep.,2015,September,*
Lithuania,Syrian Arab Rep.,2015,December,*
Luxembourg,Syrian Arab Rep.,2011,January,4
Luxembourg,Syrian Arab Rep.,2011,May,1
Luxembourg,Syrian Arab Rep.,2011,June,3
Luxembourg,Syrian Arab Rep.,2011,October,2
Luxembourg,Syrian Arab Rep.,2011,December,1
Luxembourg,Syrian Arab Rep.,2012,January,1
Luxembourg,Syrian Arab Rep.,2012,February,1
Luxembourg,Syrian Arab Rep.,2012,April,2
Luxembourg,Syrian Arab Rep.,2012,May,2
Luxembourg,Syrian Arab Rep.,2012,July,1
Luxembourg,Syrian Arab Rep.,2012,August,1
Luxembourg,Syrian Arab Rep.,2012,September,4
Luxembourg,Syrian Arab Rep.,2012,December,2
Luxembourg,Syrian Arab Rep.,2013,February,2
Luxembourg,Syrian Arab Rep.,2013,March,3
Luxembourg,Syrian Arab Rep.,2013,April,2
Luxembourg,Syrian Arab Rep.,2013,May,1
Luxembourg,Syrian Arab Rep.,2013,June,3
Luxembourg,Syrian Arab Rep.,2013,July,4
Luxembourg,Syrian Arab Rep.,2013,August,1
Luxembourg,Syrian Arab Rep.,2013,September,4
Luxembourg,Syrian Arab Rep.,2013,November,3
Luxembourg,Syrian Arab Rep.,2013,December,1
Luxembourg,Syrian Arab Rep.,2014,January,*
Luxembourg,Syrian Arab Rep.,2014,February,*
Luxembourg,Syrian Arab Rep.,2014,March,6
Luxembourg,Syrian Arab Rep.,2014,April,*
Luxembourg,Syrian Arab Rep.,2014,May,11
Luxembourg,Syrian Arab Rep.,2014,June,10
Luxembourg,Syrian Arab Rep.,2014,July,*
Luxembourg,Syrian Arab Rep.,2014,August,11
Luxembourg,Syrian Arab Rep.,2014,September,11
Luxembourg,Syrian Arab Rep.,2014,October,14
Luxembourg,Syrian Arab Rep.,2014,November,6
Luxembourg,Syrian Arab Rep.,2014,December,9
Luxembourg,Syrian Arab Rep.,2015,February,*
Luxembourg,Syrian Arab Rep.,2015,March,11
Luxembourg,Syrian Arab Rep.,2015,April,9
Luxembourg,Syrian Arab Rep.,2015,May,*
Luxembourg,Syrian Arab Rep.,2015,June,8
Luxembourg,Syrian Arab Rep.,2015,July,20
Luxembourg,Syrian Arab Rep.,2015,August,56
Luxembourg,Syrian Arab Rep.,2015,September,141
Luxembourg,Syrian Arab Rep.,2015,October,114
Luxembourg,Syrian Arab Rep.,2015,November,131
Luxembourg,Syrian Arab Rep.,2015,December,145
Latvia,Syrian Arab Rep.,2011,June,1
Latvia,Syrian Arab Rep.,2011,August,2
Latvia,Syrian Arab Rep.,2011,September,7
Latvia,Syrian Arab Rep.,2011,October,3
Latvia,Syrian Arab Rep.,2011,November,3
Latvia,Syrian Arab Rep.,2012,February,1
Latvia,Syrian Arab Rep.,2012,June,2
Latvia,Syrian Arab Rep.,2012,July,1
Latvia,Syrian Arab Rep.,2012,September,3
Latvia,Syrian Arab Rep.,2012,October,2
Latvia,Syrian Arab Rep.,2012,November,5
Latvia,Syrian Arab Rep.,2012,December,4
Latvia,Syrian Arab Rep.,2013,January,2
Latvia,Syrian Arab Rep.,2013,February,4
Latvia,Syrian Arab Rep.,2013,March,2
Latvia,Syrian Arab Rep.,2013,April,1
Latvia,Syrian Arab Rep.,2013,May,3
Latvia,Syrian Arab Rep.,2013,August,1
Latvia,Syrian Arab Rep.,2013,September,1
Latvia,Syrian Arab Rep.,2013,October,1
Latvia,Syrian Arab Rep.,2014,March,*
Latvia,Syrian Arab Rep.,2014,April,*
Latvia,Syrian Arab Rep.,2014,May,*
Latvia,Syrian Arab Rep.,2014,June,13
Latvia,Syrian Arab Rep.,2014,July,5
Latvia,Syrian Arab Rep.,2014,September,*
Latvia,Syrian Arab Rep.,2014,October,*
Latvia,Syrian Arab Rep.,2014,November,6
Latvia,Syrian Arab Rep.,2015,May,*
Latvia,Syrian Arab Rep.,2015,June,5
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2011,January,1
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2011,August,1
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2012,April,3
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2012,November,1
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2012,December,1
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2013,January,2
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2013,February,9
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2013,March,4
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2013,April,39
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2013,May,19
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2013,June,38
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2013,July,62
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2013,August,110
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2013,September,47
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2013,October,21
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2013,November,4
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2013,December,5
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2014,January,11
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2014,February,44
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2014,March,31
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2014,April,67
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2014,May,29
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2014,June,73
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2014,July,74
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2014,August,33
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2014,September,55
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2014,October,99
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2014,November,109
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2014,December,121
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2015,January,123
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2015,February,40
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2015,March,75
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2015,April,56
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2015,May,95
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2015,June,382
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2015,July,168
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2015,August,6
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2015,September,13
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2015,October,17
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2015,November,10
The former Yugoslav Rep. of Macedonia,Syrian Arab Rep.,2015,December,12
Montenegro,Syrian Arab Rep.,2011,October,1
Montenegro,Syrian Arab Rep.,2012,January,1
Montenegro,Syrian Arab Rep.,2012,March,3
Montenegro,Syrian Arab Rep.,2012,April,2
Montenegro,Syrian Arab Rep.,2012,May,5
Montenegro,Syrian Arab Rep.,2012,June,2
Montenegro,Syrian Arab Rep.,2012,July,6
Montenegro,Syrian Arab Rep.,2012,October,7
Montenegro,Syrian Arab Rep.,2012,November,11
Montenegro,Syrian Arab Rep.,2012,December,7
Montenegro,Syrian Arab Rep.,2013,February,4
Montenegro,Syrian Arab Rep.,2013,March,1
Montenegro,Syrian Arab Rep.,2013,April,13
Montenegro,Syrian Arab Rep.,2013,May,6
Montenegro,Syrian Arab Rep.,2013,June,22
Montenegro,Syrian Arab Rep.,2013,July,25
Montenegro,Syrian Arab Rep.,2013,August,47
Montenegro,Syrian Arab Rep.,2013,September,28
Montenegro,Syrian Arab Rep.,2013,October,41
Montenegro,Syrian Arab Rep.,2013,November,18
Montenegro,Syrian Arab Rep.,2013,December,80
Montenegro,Syrian Arab Rep.,2014,January,34
Montenegro,Syrian Arab Rep.,2014,March,*
Montenegro,Syrian Arab Rep.,2014,April,34
Montenegro,Syrian Arab Rep.,2014,May,21
Montenegro,Syrian Arab Rep.,2014,June,94
Montenegro,Syrian Arab Rep.,2014,July,101
Montenegro,Syrian Arab Rep.,2014,August,39
Montenegro,Syrian Arab Rep.,2014,September,67
Montenegro,Syrian Arab Rep.,2014,October,588
Montenegro,Syrian Arab Rep.,2014,November,424
Montenegro,Syrian Arab Rep.,2014,December,245
Montenegro,Syrian Arab Rep.,2015,January,124
Montenegro,Syrian Arab Rep.,2015,February,101
Montenegro,Syrian Arab Rep.,2015,March,153
Montenegro,Syrian Arab Rep.,2015,April,209
Montenegro,Syrian Arab Rep.,2015,May,281
Montenegro,Syrian Arab Rep.,2015,June,113
Montenegro,Syrian Arab Rep.,2015,August,*
Montenegro,Syrian Arab Rep.,2015,September,*
Montenegro,Syrian Arab Rep.,2015,November,11
Malta,Syrian Arab Rep.,2011,May,4
Malta,Syrian Arab Rep.,2011,July,4
Malta,Syrian Arab Rep.,2011,August,2
Malta,Syrian Arab Rep.,2011,September,5
Malta,Syrian Arab Rep.,2011,October,70
Malta,Syrian Arab Rep.,2011,November,27
Malta,Syrian Arab Rep.,2011,December,10
Malta,Syrian Arab Rep.,2012,January,10
Malta,Syrian Arab Rep.,2012,February,7
Malta,Syrian Arab Rep.,2012,March,12
Malta,Syrian Arab Rep.,2012,April,12
Malta,Syrian Arab Rep.,2012,May,11
Malta,Syrian Arab Rep.,2012,June,2
Malta,Syrian Arab Rep.,2012,July,3
Malta,Syrian Arab Rep.,2012,August,1
Malta,Syrian Arab Rep.,2012,September,17
Malta,Syrian Arab Rep.,2012,October,23
Malta,Syrian Arab Rep.,2012,November,12
Malta,Syrian Arab Rep.,2012,December,37
Malta,Syrian Arab Rep.,2013,January,9
Malta,Syrian Arab Rep.,2013,February,13
Malta,Syrian Arab Rep.,2013,March,41
Malta,Syrian Arab Rep.,2013,April,20
Malta,Syrian Arab Rep.,2013,May,3
Malta,Syrian Arab Rep.,2013,June,31
Malta,Syrian Arab Rep.,2013,July,37
Malta,Syrian Arab Rep.,2013,August,12
Malta,Syrian Arab Rep.,2013,September,17
Malta,Syrian Arab Rep.,2013,October,11
Malta,Syrian Arab Rep.,2013,November,28
Malta,Syrian Arab Rep.,2013,December,28
Malta,Syrian Arab Rep.,2014,January,30
Malta,Syrian Arab Rep.,2014,February,15
Malta,Syrian Arab Rep.,2014,March,18
Malta,Syrian Arab Rep.,2014,April,15
Malta,Syrian Arab Rep.,2014,May,18
Malta,Syrian Arab Rep.,2014,June,37
Malta,Syrian Arab Rep.,2014,July,16
Malta,Syrian Arab Rep.,2014,August,25
Malta,Syrian Arab Rep.,2014,September,38
Malta,Syrian Arab Rep.,2014,October,52
Malta,Syrian Arab Rep.,2014,November,15
Malta,Syrian Arab Rep.,2014,December,26
Malta,Syrian Arab Rep.,2015,January,13
Malta,Syrian Arab Rep.,2015,February,9
Malta,Syrian Arab Rep.,2015,March,11
Malta,Syrian Arab Rep.,2015,April,10
Malta,Syrian Arab Rep.,2015,May,17
Malta,Syrian Arab Rep.,2015,June,18
Malta,Syrian Arab Rep.,2015,July,26
Malta,Syrian Arab Rep.,2015,August,24
Malta,Syrian Arab Rep.,2015,September,56
Malta,Syrian Arab Rep.,2015,October,96
Malta,Syrian Arab Rep.,2015,November,87
Malta,Syrian Arab Rep.,2015,December,31
Netherlands,Syrian Arab Rep.,2011,January,9
Netherlands,Syrian Arab Rep.,2011,February,5
Netherlands,Syrian Arab Rep.,2011,March,6
Netherlands,Syrian Arab Rep.,2011,April,6
Netherlands,Syrian Arab Rep.,2011,May,5
Netherlands,Syrian Arab Rep.,2011,June,17
Netherlands,Syrian Arab Rep.,2011,July,14
Netherlands,Syrian Arab Rep.,2011,August,14
Netherlands,Syrian Arab Rep.,2011,September,26
Netherlands,Syrian Arab Rep.,2011,October,29
Netherlands,Syrian Arab Rep.,2011,November,23
Netherlands,Syrian Arab Rep.,2011,December,14
Netherlands,Syrian Arab Rep.,2012,January,18
Netherlands,Syrian Arab Rep.,2012,February,27
Netherlands,Syrian Arab Rep.,2012,March,14
Netherlands,Syrian Arab Rep.,2012,April,12
Netherlands,Syrian Arab Rep.,2012,May,28
Netherlands,Syrian Arab Rep.,2012,June,25
Netherlands,Syrian Arab Rep.,2012,July,16
Netherlands,Syrian Arab Rep.,2012,August,28
Netherlands,Syrian Arab Rep.,2012,September,54
Netherlands,Syrian Arab Rep.,2012,October,75
Netherlands,Syrian Arab Rep.,2012,November,94
Netherlands,Syrian Arab Rep.,2012,December,63
Netherlands,Syrian Arab Rep.,2013,January,111
Netherlands,Syrian Arab Rep.,2013,February,104
Netherlands,Syrian Arab Rep.,2013,March,126
Netherlands,Syrian Arab Rep.,2013,April,127
Netherlands,Syrian Arab Rep.,2013,May,126
Netherlands,Syrian Arab Rep.,2013,June,165
Netherlands,Syrian Arab Rep.,2013,July,197
Netherlands,Syrian Arab Rep.,2013,August,212
Netherlands,Syrian Arab Rep.,2013,September,322
Netherlands,Syrian Arab Rep.,2013,October,373
Netherlands,Syrian Arab Rep.,2013,November,413
Netherlands,Syrian Arab Rep.,2013,December,397
Netherlands,Syrian Arab Rep.,2014,January,434
Netherlands,Syrian Arab Rep.,2014,February,242
Netherlands,Syrian Arab Rep.,2014,March,308
Netherlands,Syrian Arab Rep.,2014,April,519
Netherlands,Syrian Arab Rep.,2014,May,639
Netherlands,Syrian Arab Rep.,2014,June,885
Netherlands,Syrian Arab Rep.,2014,July,1087
Netherlands,Syrian Arab Rep.,2014,August,1107
Netherlands,Syrian Arab Rep.,2014,September,1653
Netherlands,Syrian Arab Rep.,2014,October,851
Netherlands,Syrian Arab Rep.,2014,November,514
Netherlands,Syrian Arab Rep.,2014,December,509
Netherlands,Syrian Arab Rep.,2015,January,315
Netherlands,Syrian Arab Rep.,2015,February,189
Netherlands,Syrian Arab Rep.,2015,March,192
Netherlands,Syrian Arab Rep.,2015,April,236
Netherlands,Syrian Arab Rep.,2015,May,445
Netherlands,Syrian Arab Rep.,2015,June,737
Netherlands,Syrian Arab Rep.,2015,July,1121
Netherlands,Syrian Arab Rep.,2015,August,2838
Netherlands,Syrian Arab Rep.,2015,September,4063
Netherlands,Syrian Arab Rep.,2015,October,5252
Netherlands,Syrian Arab Rep.,2015,November,2402
Norway,Syrian Arab Rep.,2011,January,21
Norway,Syrian Arab Rep.,2011,February,6
Norway,Syrian Arab Rep.,2011,March,8
Norway,Syrian Arab Rep.,2011,April,10
Norway,Syrian Arab Rep.,2011,May,6
Norway,Syrian Arab Rep.,2011,June,8
Norway,Syrian Arab Rep.,2011,July,12
Norway,Syrian Arab Rep.,2011,August,21
Norway,Syrian Arab Rep.,2011,September,21
Norway,Syrian Arab Rep.,2011,October,29
Norway,Syrian Arab Rep.,2011,November,20
Norway,Syrian Arab Rep.,2011,December,27
Norway,Syrian Arab Rep.,2012,January,21
Norway,Syrian Arab Rep.,2012,February,2
Norway,Syrian Arab Rep.,2012,March,12
Norway,Syrian Arab Rep.,2012,April,18
Norway,Syrian Arab Rep.,2012,May,13
Norway,Syrian Arab Rep.,2012,June,30
Norway,Syrian Arab Rep.,2012,July,23
Norway,Syrian Arab Rep.,2012,August,33
Norway,Syrian Arab Rep.,2012,September,38
Norway,Syrian Arab Rep.,2012,October,48
Norway,Syrian Arab Rep.,2012,November,45
Norway,Syrian Arab Rep.,2012,December,29
Norway,Syrian Arab Rep.,2013,January,45
Norway,Syrian Arab Rep.,2013,February,34
Norway,Syrian Arab Rep.,2013,March,36
Norway,Syrian Arab Rep.,2013,April,46
Norway,Syrian Arab Rep.,2013,May,45
Norway,Syrian Arab Rep.,2013,June,53
Norway,Syrian Arab Rep.,2013,July,92
Norway,Syrian Arab Rep.,2013,August,99
Norway,Syrian Arab Rep.,2013,September,106
Norway,Syrian Arab Rep.,2013,October,116
Norway,Syrian Arab Rep.,2013,November,87
Norway,Syrian Arab Rep.,2013,December,109
Norway,Syrian Arab Rep.,2014,January,120
Norway,Syrian Arab Rep.,2014,February,76
Norway,Syrian Arab Rep.,2014,March,104
Norway,Syrian Arab Rep.,2014,April,91
Norway,Syrian Arab Rep.,2014,May,152
Norway,Syrian Arab Rep.,2014,June,197
Norway,Syrian Arab Rep.,2014,July,176
Norway,Syrian Arab Rep.,2014,August,256
Norway,Syrian Arab Rep.,2014,September,296
Norway,Syrian Arab Rep.,2014,October,216
Norway,Syrian Arab Rep.,2014,November,189
Norway,Syrian Arab Rep.,2014,December,194
Norway,Syrian Arab Rep.,2015,January,114
Norway,Syrian Arab Rep.,2015,February,83
Norway,Syrian Arab Rep.,2015,March,76
Norway,Syrian Arab Rep.,2015,April,89
Norway,Syrian Arab Rep.,2015,May,94
Norway,Syrian Arab Rep.,2015,June,178
Norway,Syrian Arab Rep.,2015,July,310
Norway,Syrian Arab Rep.,2015,August,865
Norway,Syrian Arab Rep.,2015,September,2642
Norway,Syrian Arab Rep.,2015,October,3394
New Zealand,Syrian Arab Rep.,2011,August,2
New Zealand,Syrian Arab Rep.,2012,March,6
New Zealand,Syrian Arab Rep.,2012,May,1
New Zealand,Syrian Arab Rep.,2012,July,1
New Zealand,Syrian Arab Rep.,2012,August,1
New Zealand,Syrian Arab Rep.,2012,October,2
New Zealand,Syrian Arab Rep.,2012,November,2
New Zealand,Syrian Arab Rep.,2013,January,3
New Zealand,Syrian Arab Rep.,2013,October,4
New Zealand,Syrian Arab Rep.,2013,December,3
New Zealand,Syrian Arab Rep.,2014,January,*
New Zealand,Syrian Arab Rep.,2014,March,*
New Zealand,Syrian Arab Rep.,2014,April,*
New Zealand,Syrian Arab Rep.,2014,August,*
New Zealand,Syrian Arab Rep.,2014,November,5
New Zealand,Syrian Arab Rep.,2015,June,6
New Zealand,Syrian Arab Rep.,2015,July,*
New Zealand,Syrian Arab Rep.,2015,December,*
Poland,Syrian Arab Rep.,2011,March,4
Poland,Syrian Arab Rep.,2011,May,1
Poland,Syrian Arab Rep.,2011,September,5
Poland,Syrian Arab Rep.,2012,February,1
Poland,Syrian Arab Rep.,2012,March,2
Poland,Syrian Arab Rep.,2012,April,4
Poland,Syrian Arab Rep.,2012,June,3
Poland,Syrian Arab Rep.,2012,July,2
Poland,Syrian Arab Rep.,2012,August,2
Poland,Syrian Arab Rep.,2012,September,6
Poland,Syrian Arab Rep.,2012,October,39
Poland,Syrian Arab Rep.,2012,November,28
Poland,Syrian Arab Rep.,2012,December,20
Poland,Syrian Arab Rep.,2013,January,51
Poland,Syrian Arab Rep.,2013,February,16
Poland,Syrian Arab Rep.,2013,March,18
Poland,Syrian Arab Rep.,2013,April,8
Poland,Syrian Arab Rep.,2013,May,16
Poland,Syrian Arab Rep.,2013,June,35
Poland,Syrian Arab Rep.,2013,July,33
Poland,Syrian Arab Rep.,2013,August,10
Poland,Syrian Arab Rep.,2013,September,23
Poland,Syrian Arab Rep.,2013,October,17
Poland,Syrian Arab Rep.,2013,November,18
Poland,Syrian Arab Rep.,2013,December,10
Poland,Syrian Arab Rep.,2014,January,8
Poland,Syrian Arab Rep.,2014,February,10
Poland,Syrian Arab Rep.,2014,March,9
Poland,Syrian Arab Rep.,2014,April,*
Poland,Syrian Arab Rep.,2014,May,*
Poland,Syrian Arab Rep.,2014,June,10
Poland,Syrian Arab Rep.,2014,July,7
Poland,Syrian Arab Rep.,2014,August,7
Poland,Syrian Arab Rep.,2014,September,16
Poland,Syrian Arab Rep.,2014,October,9
Poland,Syrian Arab Rep.,2014,November,9
Poland,Syrian Arab Rep.,2014,December,13
Poland,Syrian Arab Rep.,2015,January,10
Poland,Syrian Arab Rep.,2015,February,*
Poland,Syrian Arab Rep.,2015,March,13
Poland,Syrian Arab Rep.,2015,April,*
Poland,Syrian Arab Rep.,2015,May,15
Poland,Syrian Arab Rep.,2015,June,10
Poland,Syrian Arab Rep.,2015,July,159
Poland,Syrian Arab Rep.,2015,August,23
Poland,Syrian Arab Rep.,2015,September,15
Poland,Syrian Arab Rep.,2015,October,13
Poland,Syrian Arab Rep.,2015,November,13
Poland,Syrian Arab Rep.,2015,December,7
Portugal,Syrian Arab Rep.,2012,May,2
Portugal,Syrian Arab Rep.,2012,June,6
Portugal,Syrian Arab Rep.,2012,August,3
Portugal,Syrian Arab Rep.,2012,September,3
Portugal,Syrian Arab Rep.,2012,October,1
Portugal,Syrian Arab Rep.,2012,November,5
Portugal,Syrian Arab Rep.,2013,January,7
Portugal,Syrian Arab Rep.,2013,February,10
Portugal,Syrian Arab Rep.,2013,March,3
Portugal,Syrian Arab Rep.,2013,April,47
Portugal,Syrian Arab Rep.,2013,May,2
Portugal,Syrian Arab Rep.,2013,October,1
Portugal,Syrian Arab Rep.,2013,December,76
Portugal,Syrian Arab Rep.,2014,March,*
Portugal,Syrian Arab Rep.,2014,May,*
Portugal,Syrian Arab Rep.,2014,June,*
Portugal,Syrian Arab Rep.,2014,July,*
Portugal,Syrian Arab Rep.,2014,August,6
Portugal,Syrian Arab Rep.,2014,September,*
Portugal,Syrian Arab Rep.,2014,October,*
Portugal,Syrian Arab Rep.,2014,December,*
Portugal,Syrian Arab Rep.,2015,May,*
Portugal,Syrian Arab Rep.,2015,June,*
Portugal,Syrian Arab Rep.,2015,October,7
Portugal,Syrian Arab Rep.,2015,November,5
Portugal,Syrian Arab Rep.,2015,December,*
Romania,Syrian Arab Rep.,2011,January,1
Romania,Syrian Arab Rep.,2011,February,1
Romania,Syrian Arab Rep.,2011,March,2
Romania,Syrian Arab Rep.,2011,April,5
Romania,Syrian Arab Rep.,2011,May,2
Romania,Syrian Arab Rep.,2011,June,2
